Date,Total Snow,Daily Delta,Min,Max,Mean
2014-01-01,100.0,0.0,-3.1,3.7,0.20869565217391306
2014-01-02,103.0,3.0,0.0,3.3,1.4217391304347826
2014-01-03,103.0,0.0,-8.6,-0.2,-5.734782608695652
2014-01-04,99.0,-4.0,-13.1,-5.4,-10.639130434782608
2014-01-05,98.0,-1.0,-11.6,-1.2,-7.578260869565217
2014-01-06,98.0,0.0,-4.9,3.9,-2.134782608695652
2014-01-07,105.0,7.0,-1.2,2.9,1.1521739130434783
2014-01-08,108.0,3.0,0.1,2.3,1.0739130434782609
2014-01-09,109.0,1.0,-3.8,0.3,-2.0739130434782607
2014-01-10,112.0,3.0,-3.1,-0.3,-1.817391304347826
2014-01-11,153.0,41.0,-4.9,-0.9,-2.38695652173913
2014-01-12,156.0,3.0,-5.9,-0.3,-3.4391304347826086
2014-01-13,164.0,8.0,0.1,3.7,1.4608695652173913
2014-01-14,165.0,1.0,1.8,3.7,2.6826086956521737
2014-01-15,165.0,0.0,2.2,3.9,2.9347826086956523
2014-01-16,164.0,-1.0,-1.1,8.6,2.630434782608696
2014-01-17,166.0,2.0,-0.2,7.4,3.2869565217391306
2014-01-18,169.0,3.0,-3.1,7.4,2.4043478260869566
2014-01-19,166.0,-3.0,-2.7,3.2,0.5304347826086957
2014-01-20,161.0,-5.0,-7.2,7.7,-3.0739130434782607
2014-01-21,165.0,4.0,-0.4,8.8,2.3434782608695652
2014-01-22,161.0,-4.0,-5.1,4.4,-0.691304347826087
2014-01-23,160.0,-1.0,-6.9,7.3,-3.1130434782608694
2014-01-24,161.0,1.0,-2.7,11.1,-4.827056628805028e-17
2014-01-25,163.0,2.0,-1.6,12.2,1.443478260869565
2014-01-26,163.0,0.0,-3.5,7.3,0.09999999999999996
2014-01-27,162.0,-1.0,-6.6,4.0,-3.7130434782608694
2014-01-28,167.0,5.0,-6.2,3.6,0.7
2014-01-29,167.0,0.0,-7.8,3.7,-3.4478260869565216
2014-01-30,166.0,-1.0,-13.3,-2.2,-8.004347826086956
2014-01-31,159.0,-7.0,-19.6,-3.8,-15.926086956521738
2014-02-01,160.0,1.0,-17.3,-3.3,-12.139130434782608
2014-02-02,160.0,0.0,-18.0,-10.2,-13.643478260869566
2014-02-03,158.0,-2.0,-16.5,-11.7,-13.717391304347826
2014-02-04,156.0,-2.0,-23.3,-16.2,-19.804347826086957
2014-02-05,154.0,-2.0,-28.9,-14.8,-23.18695652173913
2014-02-06,158.0,4.0,-29.1,-12.7,-23.63478260869565
2014-02-07,158.0,0.0,-28.5,-11.9,-23.33478260869565
2014-02-08,146.0,-12.0,-27.0,-9.1,-21.452173913043477
2014-02-09,145.0,-1.0,-25.8,-2.1,-18.582608695652173
2014-02-10,155.0,10.0,-9.7,0.0,-4.908695652173913
2014-02-11,161.0,6.0,-4.8,-1.6,-3.747826086956522
2014-02-12,189.0,28.0,-4.8,-0.8,-2.282608695652174
2014-02-13,200.0,11.0,-4.1,-1.2,-2.8391304347826085
2014-02-14,217.0,17.0,-3.9,0.5,-2.2956521739130435
2014-02-15,215.0,-2.0,-4.3,-0.3,-2.408695652173913
2014-02-16,227.0,12.0,-7.1,-2.0,-4.869565217391305
2014-02-17,241.0,14.0,-6.0,0.5,-4.104347826086957
2014-02-18,249.0,8.0,-6.1,-2.5,-4.77391304347826
2014-02-19,250.0,1.0,-7.0,-3.6,-5.3478260869565215
2014-02-20,259.0,9.0,-6.7,-3.1,-4.6869565217391305
2014-02-21,250.0,-9.0,-18.6,-2.6,-9.986956521739131
2014-02-22,257.0,7.0,-15.1,-5.2,-10.595652173913043
2014-02-23,261.0,4.0,-18.0,-8.7,-13.76086956521739
2014-02-24,261.0,0.0,-18.6,-9.7,-14.717391304347826
2014-02-25,261.0,0.0,-17.5,-0.1,-11.447826086956521
2014-02-26,265.0,4.0,-13.4,6.9,-7.791304347826087
2014-02-27,275.0,10.0,-5.4,3.7,-2.1130434782608694
2014-02-28,270.0,-5.0,-11.9,0.0,-5.660869565217391
2014-03-01,263.0,-7.0,-27.1,-9.3,-18.213043478260868
2014-03-02,270.0,7.0,-18.2,-13.3,-16.630434782608695
2014-03-03,275.0,5.0,-18.0,-2.1,-14.843478260869565
2014-03-04,276.0,1.0,-9.8,0.2,-5.291304347826087
2014-03-05,280.0,4.0,-13.0,-3.9,-8.039130434782608
2014-03-06,286.0,6.0,-13.2,-2.5,-10.447826086956521
2014-03-07,285.0,-1.0,-1.6,4.7,2.247826086956522
2014-03-08,300.0,15.0,-0.5,1.4,0.45217391304347826
2014-03-09,313.0,13.0,-1.4,1.0,0.14782608695652175
2014-03-10,312.0,-1.0,-8.8,5.1,-2.026086956521739
2014-03-11,308.0,-4.0,-8.2,5.2,-2.6913043478260867
2014-03-12,319.0,11.0,-2.7,3.4,0.6173913043478261
2014-03-13,316.0,-3.0,-10.2,6.2,-3.2130434782608694
2014-03-14,330.0,14.0,-1.7,2.2,-0.09130434782608694
2014-03-15,332.0,2.0,-2.6,0.5,-1.1347826086956523
2014-03-16,362.0,30.0,-1.8,0.8,-0.5826086956521739
2014-03-17,359.0,-3.0,-12.3,2.5,-4.673913043478261
2014-03-18,363.0,4.0,-5.7,3.6,-2.5043478260869567
2014-03-19,374.0,11.0,-2.3,0.7,-1.1869565217391305
2014-03-20,367.0,-7.0,-11.0,2.5,-5.769565217391304
2014-03-21,364.0,-3.0,-16.3,3.2,-8.452173913043477
2014-03-22,374.0,10.0,-7.9,2.9,-3.782608695652174
2014-03-23,369.0,-5.0,-13.0,6.2,-4.9
2014-03-24,376.0,7.0,-5.8,3.6,-2.6956521739130435
2014-03-25,390.0,14.0,-4.2,2.1,-0.391304347826087
2014-03-26,392.0,2.0,-7.1,0.6,-3.9043478260869566
2014-03-27,390.0,-2.0,-8.3,2.8,-4.7956521739130435
