S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,S1_total_3,S1_delta_3,S1_min_3,S1_max_3,S1_mean_3,S2_total_3,S2_delta_3,S2_min_3,S2_max_3,S2_mean_3,Danger Rating
99.0,-4.0,-13.1,-5.4,-10.639130434782608,340.0,-2.0,-9.9,2.7,-6.734782608695652,103.0,0.0,-8.6,-0.2,-5.734782608695652,342.0,40.0,-8.1,0.0,-4.5,103.0,3.0,0.0,3.3,1.4217391304347826,302.0,13.0,-2.4,-0.8,-1.691304347826087,100.0,0.0,-3.1,3.7,0.20869565217391306,289.0,0.0,-5.2,-0.7,-3.121739130434783,2
98.0,-1.0,-11.6,-1.2,-7.578260869565217,341.0,1.0,-6.8,6.4,-3.630434782608696,99.0,-4.0,-13.1,-5.4,-10.639130434782608,340.0,-2.0,-9.9,2.7,-6.734782608695652,103.0,0.0,-8.6,-0.2,-5.734782608695652,342.0,40.0,-8.1,0.0,-4.5,103.0,3.0,0.0,3.3,1.4217391304347826,302.0,13.0,-2.4,-0.8,-1.691304347826087,3
98.0,0.0,-4.9,3.9,-2.134782608695652,342.0,1.0,-4.2,8.8,-1.0043478260869565,98.0,-1.0,-11.6,-1.2,-7.578260869565217,341.0,1.0,-6.8,6.4,-3.630434782608696,99.0,-4.0,-13.1,-5.4,-10.639130434782608,340.0,-2.0,-9.9,2.7,-6.734782608695652,103.0,0.0,-8.6,-0.2,-5.734782608695652,342.0,40.0,-8.1,0.0,-4.5,2
105.0,7.0,-1.2,2.9,1.1521739130434783,345.0,3.0,-3.2,-0.2,-1.5043478260869565,98.0,0.0,-4.9,3.9,-2.134782608695652,342.0,1.0,-4.2,8.8,-1.0043478260869565,98.0,-1.0,-11.6,-1.2,-7.578260869565217,341.0,1.0,-6.8,6.4,-3.630434782608696,99.0,-4.0,-13.1,-5.4,-10.639130434782608,340.0,-2.0,-9.9,2.7,-6.734782608695652,2
108.0,3.0,0.1,2.3,1.0739130434782609,352.0,7.0,-1.8,-0.9,-1.4434782608695653,105.0,7.0,-1.2,2.9,1.1521739130434783,345.0,3.0,-3.2,-0.2,-1.5043478260869565,98.0,0.0,-4.9,3.9,-2.134782608695652,342.0,1.0,-4.2,8.8,-1.0043478260869565,98.0,-1.0,-11.6,-1.2,-7.578260869565217,341.0,1.0,-6.8,6.4,-3.630434782608696,3
109.0,1.0,-3.8,0.3,-2.0739130434782607,368.0,16.0,-4.7,-1.7,-3.273913043478261,108.0,3.0,0.1,2.3,1.0739130434782609,352.0,7.0,-1.8,-0.9,-1.4434782608695653,105.0,7.0,-1.2,2.9,1.1521739130434783,345.0,3.0,-3.2,-0.2,-1.5043478260869565,98.0,0.0,-4.9,3.9,-2.134782608695652,342.0,1.0,-4.2,8.8,-1.0043478260869565,3
112.0,3.0,-3.1,-0.3,-1.817391304347826,393.0,25.0,-4.7,-2.1,-3.3,109.0,1.0,-3.8,0.3,-2.0739130434782607,368.0,16.0,-4.7,-1.7,-3.273913043478261,108.0,3.0,0.1,2.3,1.0739130434782609,352.0,7.0,-1.8,-0.9,-1.4434782608695653,105.0,7.0,-1.2,2.9,1.1521739130434783,345.0,3.0,-3.2,-0.2,-1.5043478260869565,3
153.0,41.0,-4.9,-0.9,-2.38695652173913,470.0,77.0,-3.7,-1.4,-2.8521739130434782,112.0,3.0,-3.1,-0.3,-1.817391304347826,393.0,25.0,-4.7,-2.1,-3.3,109.0,1.0,-3.8,0.3,-2.0739130434782607,368.0,16.0,-4.7,-1.7,-3.273913043478261,108.0,3.0,0.1,2.3,1.0739130434782609,352.0,7.0,-1.8,-0.9,-1.4434782608695653,4
156.0,3.0,-5.9,-0.3,-3.4391304347826086,493.0,23.0,-5.6,-2.8,-4.4,153.0,41.0,-4.9,-0.9,-2.38695652173913,470.0,77.0,-3.7,-1.4,-2.8521739130434782,112.0,3.0,-3.1,-0.3,-1.817391304347826,393.0,25.0,-4.7,-2.1,-3.3,109.0,1.0,-3.8,0.3,-2.0739130434782607,368.0,16.0,-4.7,-1.7,-3.273913043478261,4
164.0,8.0,0.1,3.7,1.4608695652173913,509.0,16.0,-3.3,2.0,-0.24782608695652172,156.0,3.0,-5.9,-0.3,-3.4391304347826086,493.0,23.0,-5.6,-2.8,-4.4,153.0,41.0,-4.9,-0.9,-2.38695652173913,470.0,77.0,-3.7,-1.4,-2.8521739130434782,112.0,3.0,-3.1,-0.3,-1.817391304347826,393.0,25.0,-4.7,-2.1,-3.3,3
165.0,0.0,2.2,3.9,2.9347826086956523,514.0,1.0,-1.0,0.4,-0.408695652173913,165.0,1.0,1.8,3.7,2.6826086956521737,513.0,4.0,0.1,1.0,0.5608695652173913,164.0,8.0,0.1,3.7,1.4608695652173913,509.0,16.0,-3.3,2.0,-0.24782608695652172,156.0,3.0,-5.9,-0.3,-3.4391304347826086,493.0,23.0,-5.6,-2.8,-4.4,3
164.0,-1.0,-1.1,8.6,2.630434782608696,513.0,-1.0,-1.7,8.1,0.6782608695652174,165.0,0.0,2.2,3.9,2.9347826086956523,514.0,1.0,-1.0,0.4,-0.408695652173913,165.0,1.0,1.8,3.7,2.6826086956521737,513.0,4.0,0.1,1.0,0.5608695652173913,164.0,8.0,0.1,3.7,1.4608695652173913,509.0,16.0,-3.3,2.0,-0.24782608695652172,3
166.0,2.0,-0.2,7.4,3.2869565217391306,512.0,-1.0,-0.4,11.4,3.1608695652173915,164.0,-1.0,-1.1,8.6,2.630434782608696,513.0,-1.0,-1.7,8.1,0.6782608695652174,165.0,0.0,2.2,3.9,2.9347826086956523,514.0,1.0,-1.0,0.4,-0.408695652173913,165.0,1.0,1.8,3.7,2.6826086956521737,513.0,4.0,0.1,1.0,0.5608695652173913,4
169.0,3.0,-3.1,7.4,2.4043478260869566,511.0,-1.0,1.5,7.7,3.3086956521739133,166.0,2.0,-0.2,7.4,3.2869565217391306,512.0,-1.0,-0.4,11.4,3.1608695652173915,164.0,-1.0,-1.1,8.6,2.630434782608696,513.0,-1.0,-1.7,8.1,0.6782608695652174,165.0,0.0,2.2,3.9,2.9347826086956523,514.0,1.0,-1.0,0.4,-0.408695652173913,3
166.0,-3.0,-2.7,3.2,0.5304347826086957,510.0,-1.0,-1.8,7.1,0.6391304347826087,169.0,3.0,-3.1,7.4,2.4043478260869566,511.0,-1.0,1.5,7.7,3.3086956521739133,166.0,2.0,-0.2,7.4,3.2869565217391306,512.0,-1.0,-0.4,11.4,3.1608695652173915,164.0,-1.0,-1.1,8.6,2.630434782608696,513.0,-1.0,-1.7,8.1,0.6782608695652174,2
161.0,-5.0,-7.2,7.7,-3.0739130434782607,509.0,-1.0,-3.5,13.4,0.7086956521739131,166.0,-3.0,-2.7,3.2,0.5304347826086957,510.0,-1.0,-1.8,7.1,0.6391304347826087,169.0,3.0,-3.1,7.4,2.4043478260869566,511.0,-1.0,1.5,7.7,3.3086956521739133,166.0,2.0,-0.2,7.4,3.2869565217391306,512.0,-1.0,-0.4,11.4,3.1608695652173915,2
165.0,4.0,-0.4,8.8,2.3434782608695652,509.0,0.0,-0.3,8.2,2.5565217391304347,161.0,-5.0,-7.2,7.7,-3.0739130434782607,509.0,-1.0,-3.5,13.4,0.7086956521739131,166.0,-3.0,-2.7,3.2,0.5304347826086957,510.0,-1.0,-1.8,7.1,0.6391304347826087,169.0,3.0,-3.1,7.4,2.4043478260869566,511.0,-1.0,1.5,7.7,3.3086956521739133,2
161.0,-4.0,-5.1,4.4,-0.691304347826087,508.0,-1.0,-3.4,9.6,1.8521739130434782,165.0,4.0,-0.4,8.8,2.3434782608695652,509.0,0.0,-0.3,8.2,2.5565217391304347,161.0,-5.0,-7.2,7.7,-3.0739130434782607,509.0,-1.0,-3.5,13.4,0.7086956521739131,166.0,-3.0,-2.7,3.2,0.5304347826086957,510.0,-1.0,-1.8,7.1,0.6391304347826087,2
160.0,-1.0,-6.9,7.3,-3.1130434782608694,507.0,-1.0,-1.3,13.3,2.6782608695652175,161.0,-4.0,-5.1,4.4,-0.691304347826087,508.0,-1.0,-3.4,9.6,1.8521739130434782,165.0,4.0,-0.4,8.8,2.3434782608695652,509.0,0.0,-0.3,8.2,2.5565217391304347,161.0,-5.0,-7.2,7.7,-3.0739130434782607,509.0,-1.0,-3.5,13.4,0.7086956521739131,2
161.0,1.0,-2.7,11.1,-4.827056628805028e-17,509.0,2.0,2.8,18.0,6.747826086956522,160.0,-1.0,-6.9,7.3,-3.1130434782608694,507.0,-1.0,-1.3,13.3,2.6782608695652175,161.0,-4.0,-5.1,4.4,-0.691304347826087,508.0,-1.0,-3.4,9.6,1.8521739130434782,165.0,4.0,-0.4,8.8,2.3434782608695652,509.0,0.0,-0.3,8.2,2.5565217391304347,2
163.0,2.0,-1.6,12.2,1.443478260869565,509.0,0.0,3.9,16.5,7.030434782608696,161.0,1.0,-2.7,11.1,-4.827056628805028e-17,509.0,2.0,2.8,18.0,6.747826086956522,160.0,-1.0,-6.9,7.3,-3.1130434782608694,507.0,-1.0,-1.3,13.3,2.6782608695652175,161.0,-4.0,-5.1,4.4,-0.691304347826087,508.0,-1.0,-3.4,9.6,1.8521739130434782,2
163.0,0.0,-3.5,7.3,0.09999999999999996,508.0,-1.0,0.9,14.8,4.752173913043478,163.0,2.0,-1.6,12.2,1.443478260869565,509.0,0.0,3.9,16.5,7.030434782608696,161.0,1.0,-2.7,11.1,-4.827056628805028e-17,509.0,2.0,2.8,18.0,6.747826086956522,160.0,-1.0,-6.9,7.3,-3.1130434782608694,507.0,-1.0,-1.3,13.3,2.6782608695652175,2
162.0,-1.0,-6.6,4.0,-3.7130434782608694,507.0,-1.0,0.2,9.8,3.3130434782608695,163.0,0.0,-3.5,7.3,0.09999999999999996,508.0,-1.0,0.9,14.8,4.752173913043478,163.0,2.0,-1.6,12.2,1.443478260869565,509.0,0.0,3.9,16.5,7.030434782608696,161.0,1.0,-2.7,11.1,-4.827056628805028e-17,509.0,2.0,2.8,18.0,6.747826086956522,2
167.0,5.0,-6.2,3.6,0.7,508.0,1.0,-1.0,2.2,0.6086956521739131,162.0,-1.0,-6.6,4.0,-3.7130434782608694,507.0,-1.0,0.2,9.8,3.3130434782608695,163.0,0.0,-3.5,7.3,0.09999999999999996,508.0,-1.0,0.9,14.8,4.752173913043478,163.0,2.0,-1.6,12.2,1.443478260869565,509.0,0.0,3.9,16.5,7.030434782608696,1
167.0,0.0,-7.8,3.7,-3.4478260869565216,508.0,0.0,-2.5,5.0,-0.017391304347826094,167.0,5.0,-6.2,3.6,0.7,508.0,1.0,-1.0,2.2,0.6086956521739131,162.0,-1.0,-6.6,4.0,-3.7130434782608694,507.0,-1.0,0.2,9.8,3.3130434782608695,163.0,0.0,-3.5,7.3,0.09999999999999996,508.0,-1.0,0.9,14.8,4.752173913043478,1
166.0,-1.0,-13.3,-2.2,-8.004347826086956,509.0,1.0,-4.7,0.4,-2.6956521739130435,167.0,0.0,-7.8,3.7,-3.4478260869565216,508.0,0.0,-2.5,5.0,-0.017391304347826094,167.0,5.0,-6.2,3.6,0.7,508.0,1.0,-1.0,2.2,0.6086956521739131,162.0,-1.0,-6.6,4.0,-3.7130434782608694,507.0,-1.0,0.2,9.8,3.3130434782608695,2
159.0,-7.0,-19.6,-3.8,-15.926086956521738,504.0,-5.0,-12.4,2.7,-7.073913043478261,166.0,-1.0,-13.3,-2.2,-8.004347826086956,509.0,1.0,-4.7,0.4,-2.6956521739130435,167.0,0.0,-7.8,3.7,-3.4478260869565216,508.0,0.0,-2.5,5.0,-0.017391304347826094,167.0,5.0,-6.2,3.6,0.7,508.0,1.0,-1.0,2.2,0.6086956521739131,1
160.0,1.0,-17.3,-3.3,-12.139130434782608,503.0,-1.0,-11.4,-1.1,-7.969565217391304,159.0,-7.0,-19.6,-3.8,-15.926086956521738,504.0,-5.0,-12.4,2.7,-7.073913043478261,166.0,-1.0,-13.3,-2.2,-8.004347826086956,509.0,1.0,-4.7,0.4,-2.6956521739130435,167.0,0.0,-7.8,3.7,-3.4478260869565216,508.0,0.0,-2.5,5.0,-0.017391304347826094,1
