S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,Danger Rating
162.0,-1.0,-6.6,4.0,-3.7130434782608694,507.0,-1.0,0.2,9.8,3.3130434782608695,2
155.0,10.0,-9.7,0.0,-4.908695652173913,511.0,4.0,-11.0,-2.5,-6.995652173913044,3
313.0,13.0,-1.4,1.0,0.14782608695652175,947.0,58.0,-2.7,3.1,-0.2956521739130435,4
319.0,11.0,-2.7,3.4,0.6173913043478261,943.0,-2.0,-5.0,7.7,-0.5782608695652174,3
403.0,3.0,-10.5,7.1,-2.339130434782609,1164.0,-2.0,-6.6,9.1,-0.11304347826086955,3
402.0,-1.0,-6.0,5.9,-1.2695652173913043,1164.0,0.0,-4.8,6.6,-0.13043478260869568,3
412.0,2.0,0.9,6.5,2.9956521739130433,1228.0,19.0,-0.8,2.4,0.5260869565217392,3
421.0,12.0,-2.2,4.1,0.23913043478260868,1237.0,0.0,-2.1,1.9,-0.7391304347826086,3
338.0,-18.0,2.0,9.0,4.765217391304348,1157.0,-8.0,0.7,3.6,1.4739130434782608,-1
0,0,1.9,13.9,7.017391304347826,0,0,3.1,11.9,6.217391304347826,-1
0.0,0.0,7.2,10.6,8.604347826086956,0,0,4.9,7.5,6.3304347826086955,-1
0,0.0,9.7,27.6,18.53913043478261,0,0,14.6,27.2,20.930434782608696,-1
0,0,5.5,16.4,10.082608695652175,0,0,8.8,13.7,10.865217391304348,-1
0,0,4.0,18.1,11.339130434782609,0,0,8.2,18.2,12.652173913043478,-1
0,0,6.5,19.1,12.747826086956522,0,0,10.3,19.1,14.191304347826087,-1
0,0,4.3,13.5,8.917391304347825,0,0,6.6,14.2,9.695652173913043,-1
0,0,3.1,5.4,4.282608695652174,0,0,3.1,4.8,3.769565217391304,-1
111.0,5.0,-13.7,-5.2,-8.891304347826086,137.0,-2.0,-11.2,-1.1,-7.569565217391304,2
194.0,5.0,-1.2,0.5,-0.34782608695652173,353.0,45.0,-2.0,-0.2,-0.9304347826086957,4
214.0,11.0,-3.5,-0.6,-2.1130434782608694,389.0,7.0,-5.4,-1.2,-4.517391304347826,3
289.0,8.0,-2.9,4.7,0.3217391304347826,549.0,-1.0,-6.1,2.7,-3.2,2
265.0,12.0,-3.0,1.9,-0.5739130434782609,568.0,13.0,-1.7,1.4,-0.8130434782608695,2
284.0,-3.0,-6.7,3.1,-2.465217391304348,705.0,-9.0,-5.6,2.7,-1.9956521739130435,3
278.0,-7.0,-3.0,7.4,0.591304347826087,709.0,-2.0,-6.1,7.4,-0.45217391304347826,-1
275.0,-3.0,-1.6,5.3,1.5956521739130436,706.0,-3.0,-1.7,6.8,1.2869565217391303,-1
0,0,1.9,15.1,7.3,474.0,-23.0,3.5,11.3,6.282608695652174,-1
0,0,3.6,22.5,12.378260869565217,0,0,9.2,22.7,14.991304347826087,-1
0,0,5.6,25.4,14.682608695652174,2.0,0.0,13.7,25.4,20.08695652173913,-1
0,0,1.0,17.4,7.8304347826086955,0,0,6.3,17.6,11.008695652173913,-1
0,0,5.1,15.2,8.991304347826087,0,0,8.1,13.6,10.504347826086956,2
177.0,29.0,0.0,2.4,0.7739130434782608,419.0,37.0,-0.8,0.8,0.030434782608695653,4
395.0,2.0,-12.8,-0.6,-9.360869565217392,1010.0,-5.0,-9.7,-0.4,-6.717391304347826,2
457.0,10.0,-3.7,2.5,-1.5739130434782609,1227.0,5.0,-2.8,1.9,-1.5521739130434782,3
561.0,-5.0,-3.5,2.4,-1.9521739130434783,1686.0,4.0,-4.0,2.1,-2.3260869565217392,3
563.0,-5.0,3.2,13.3,6.234782608695652,1650.0,-6.0,1.6,15.8,6.643478260869565,-1
409.0,-9.0,-1.7,10.9,3.8956521739130436,1488.0,-13.0,1.5,9.5,5.160869565217391,-1
372.0,-15.0,-3.0,12.9,3.8347826086956522,1469.0,-7.0,0.6,14.8,6.21304347826087,-1
186.0,-18.0,-1.2,12.6,5.121739130434783,1300.0,-24.0,1.1,13.4,5.695652173913043,-1
0,0,0.3,12.0,3.4608695652173913,982.0,-23.0,1.9,14.0,7.073913043478261,-1
0,0,4.9,10.3,6.826086956521739,746.0,-43.0,5.0,11.3,6.743478260869566,-1
0,0.0,5.2,20.5,12.78695652173913,569.0,-46.0,8.9,22.2,15.247826086956522,-1
0,0,7.1,14.0,10.034782608695652,98.0,-33.0,5.6,13.7,7.7043478260869565,-1
0,0,6.0,14.6,9.243478260869566,0,0,6.8,13.1,8.069565217391304,-1
0,0,1.8,9.9,6.1521739130434785,0,0,5.0,9.9,5.926086956521739,-1
10.0,-2.0,-0.3,3.1,1.182608695652174,52.0,-12.0,-0.1,2.6,1.2956521739130435,-1
75.0,0.0,-22.1,-15.3,-20.230434782608697,383.0,0.0,-7.6,0.0,-0.6260869565217391,2
168.0,3.0,-18.4,-8.8,-12.439130434782609,581.0,1.0,-3.3,1.4,-0.03043478260869565,2
183.0,1.0,-19.4,-7.7,-13.373913043478261,620.0,0.0,-9.5,1.7,-0.45217391304347826,2
195.0,5.0,-0.1,2.9,1.0739130434782609,626.0,3.0,0.0,0.0,0.0,2
255.0,4.0,-0.6,4.6,2.269565217391304,855.0,-1.0,0.0,2.6,0.2608695652173913,2
337.0,11.0,-1.5,6.5,3.347826086956522,1007.0,1.0,0.0,6.2,1.4130434782608696,4
355.0,2.0,-7.7,-1.6,-5.456521739130435,1088.0,-2.0,0.0,0.0,0.0,3
401.0,13.0,-14.6,-1.2,-11.378260869565217,1235.0,25.0,0.0,2.9,0.17391304347826086,4
539.0,3.0,-7.7,5.8,-1.9391304347826086,1751.0,-4.0,0.0,8.5,2.117391304347826,2
544.0,-4.0,-1.6,4.8,1.1043478260869566,1794.0,18.0,0.0,5.5,1.3347826086956522,3
424.0,-9.0,-1.3,9.1,3.0652173913043477,1514.0,-38.0,0.0,12.5,4.843478260869565,-1
413.0,-11.0,2.6,10.4,5.28695652173913,1443.0,-71.0,0.0,7.5,2.360869565217391,-1
392.0,-21.0,-1.9,6.1,1.8043478260869565,1471.0,28.0,0.0,5.8,1.0956521739130434,-1
0,0,4.7,11.2,6.860869565217391,863.0,-28.0,0.0,7.0,2.88695652173913,-1
0,0,0.9,18.3,8.704347826086957,709.0,-35.0,0.0,22.0,11.339130434782609,-1
0,0,0.0,0.0,0.0,0,0,10.9,22.1,15.930434782608696,-1
0,0,0.0,0.0,0.0,0,0,8.2,20.8,12.61304347826087,-1
0,0,0.0,0.0,0.0,0,0,7.1,12.4,8.608695652173912,-1
0,0,0.0,0.0,0.0,0,0,6.9,15.5,10.5,-1
17.0,4.0,1.8,4.7,3.5478260869565217,0,0,-0.7,3.9,0.7782608695652173,-1
61.0,18.0,-1.6,1.8,-0.4434782608695652,53.0,0.0,-0.2,0.6,0.06521739130434782,-1
0,0,-18.5,-10.6,-14.42608695652174,0,0,-7.3,0.0,-1.0608695652173912,-1
10.0,10.0,-14.5,-11.0,-13.173913043478262,50.0,50.0,-8.4,0.0,-1.373913043478261,-1
11.0,0.0,-7.2,-1.4,-4.530434782608696,51.0,2.0,-3.1,0.0,-0.5217391304347826,-1
96.0,31.0,-2.4,-0.6,-1.9304347826086956,300.0,124.0,-2.9,-1.2,-2.4695652173913043,-1
265.0,6.0,-5.4,2.7,-2.617391304347826,743.0,1.0,0.2,5.6,2.365217391304348,1
288.0,10.0,-0.7,1.6,0.7608695652173914,785.0,27.0,-3.0,-0.3,-1.7565217391304349,3
485.0,0.0,-6.5,-2.2,-4.547826086956522,1350.0,11.0,-5.6,-1.2,-4.282608695652174,3
515.0,6.0,-5.5,-3.7,-4.678260869565217,1507.0,6.0,-6.1,-3.5,-5.126086956521739,3
552.0,7.0,-0.4,3.5,1.6347826086956523,1603.0,9.0,-1.2,0.8,-0.36086956521739133,2
576.0,8.0,-0.4,3.6,1.208695652173913,1745.0,4.0,-1.8,8.0,0.3826086956521739,3
584.0,2.0,-7.3,1.0,-3.0869565217391304,1753.0,2.0,-5.0,2.9,-2.3434782608695652,3
623.0,21.0,0.8,5.7,2.873913043478261,1732.0,4.0,1.0,6.6,2.769565217391304,3
659.0,6.0,-5.7,9.2,-0.17391304347826095,1850.0,-2.0,-3.5,14.5,3.4434782608695653,3
608.0,-9.0,-2.5,11.3,3.634782608695652,1803.0,-6.0,-0.1,13.9,4.8304347826086955,-1
4.0,0.0,6.4,12.2,9.352173913043478,122.0,-32.0,6.3,9.3,7.217391304347826,-1
3.0,-2.0,3.0,17.4,9.947826086956521,0,0,6.2,17.2,10.247826086956522,-1
5.0,2.0,9.1,25.5,16.543478260869566,1.0,1.0,14.8,26.9,20.51304347826087,-1
3.0,1.0,7.4,11.5,8.673913043478262,0,0,4.1,12.9,8.352173913043478,-1
2.0,1.0,1.7,15.0,5.843478260869565,0,0,5.5,16.8,9.660869565217391,-1
18.0,-1.0,-0.3,13.7,4.334782608695652,0,0,7.4,19.5,11.578260869565216,-1
4.0,-17.0,2.8,6.0,4.143478260869565,0,-20.0,2.9,6.9,5.126086956521739,-1
4.0,0.0,1.8,4.6,3.1826086956521737,0,0,1.4,2.6,1.8304347826086957,-1
2.0,-1.0,-2.7,1.3,-0.8782608695652174,0,0,-0.7,0.6,-0.03478260869565217,-1
7.0,5.0,1.9,7.8,4.904347826086957,0,0,2.2,5.3,3.4608695652173913,-1
200.0,2.0,-6.3,1.1,-2.873913043478261,747.0,3.0,-7.3,-3.2,-5.673913043478261,2
