S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,Danger Rating
401.0,2.0,-3.4,4.0,-0.9826086956521739,1211.0,-8.0,-4.9,6.5,-0.3,399.0,-14.0,0.4,6.3,3.534782608695652,1219.0,-2.0,1.9,6.1,3.630434782608696,413.0,5.0,0.3,9.3,4.734782608695652,1221.0,15.0,-1.0,3.9,0.6869565217391305,3
426.0,5.0,-4.7,6.1,-0.19565217391304354,1287.0,-2.0,-4.1,5.9,-0.2652173913043478,421.0,-6.0,-3.0,7.8,1.208695652173913,1289.0,14.0,-2.4,10.0,0.42608695652173917,427.0,7.0,-2.3,6.3,1.0608695652173914,1275.0,5.0,-2.1,2.2,-0.4869565217391304,-1
284.0,-12.0,4.2,14.4,7.578260869565217,1069.0,-18.0,3.7,18.0,8.556521739130435,296.0,-9.0,1.7,8.8,5.482608695652174,1087.0,-44.0,2.8,14.4,7.456521739130435,305.0,-15.0,-2.0,15.1,4.973913043478261,1131.0,-18.0,1.2,15.2,6.573913043478261,-1
62.0,-38.0,6.0,9.9,7.78695652173913,875.0,-23.0,3.7,12.4,7.317391304347826,100.0,-29.0,4.9,12.2,7.826086956521739,898.0,-11.0,2.1,15.1,6.726086956521739,129.0,-28.0,2.7,11.7,6.1,909.0,-13.0,2.7,8.2,5.034782608695652,-1
0,-1.0,5.1,21.1,12.26086956521739,0,0,8.4,20.2,13.195652173913043,1.0,1.0,8.7,17.8,10.852173913043478,0,0,7.6,12.5,8.704347826086956,0.0,0.0,7.2,10.6,8.604347826086956,0,0,4.9,7.5,6.3304347826086955,-1
0,0,5.4,26.5,14.095652173913043,0,0,12.2,25.6,18.104347826086958,0,0,3.4,23.5,12.517391304347827,0,0,9.0,21.7,15.204347826086957,0,0,5.2,21.5,13.58695652173913,0,0,10.8,22.1,16.22608695652174,-1
0,0,7.6,15.0,10.71304347826087,0,0,7.5,14.2,10.134782608695652,0,0,7.1,15.0,10.256521739130434,0,0,7.0,10.5,7.913043478260869,0,0,5.2,15.3,9.369565217391305,0,0,7.4,10.8,8.656521739130435,-1
0,0,3.7,19.3,10.647826086956522,0,0,7.8,20.1,13.013043478260869,0,0,5.0,15.8,10.378260869565217,0,0,6.4,15.6,10.226086956521739,0,0,6.6,16.1,9.956521739130435,0,0,6.9,11.3,8.021739130434783,-1
0,0,5.7,23.3,13.569565217391304,0,0,11.4,23.1,16.956521739130434,0,0,7.2,22.2,14.334782608695653,0,0,11.3,22.5,16.786956521739132,0,0,7.0,22.5,14.08695652173913,0,0,11.7,23.2,17.40869565217391,-1
0,0,12.1,21.7,15.660869565217391,0,0.0,11.3,14.3,12.191304347826087,0,0,11.5,20.5,15.1,0.0,0.0,12.4,19.2,13.534782608695652,0,0,9.7,25.8,16.77391304347826,0.0,0.0,11.7,21.7,14.486956521739131,-1
0,-8.0,0.2,2.6,1.0521739130434782,0,0,0.0,3.6,0.7521739130434782,8.0,8.0,0.2,4.3,1.6565217391304348,0,0,3.2,4.6,3.7130434782608694,0,0,1.1,5.7,3.139130434782609,0,0,2.5,4.9,3.2304347826086954,-1
0,0,-15.8,-5.8,-12.752173913043478,2.0,-1.0,-8.7,0.6,-5.560869565217391,0,0,-11.3,-4.1,-7.7043478260869565,3.0,-1.0,-8.2,0.0,-4.3,0,0,-7.9,2.6,-3.7956521739130435,4.0,-3.0,-6.1,4.4,-1.5391304347826087,-1
18.0,6.0,-2.2,0.1,-1.065217391304348,71.0,22.0,-3.0,-0.3,-1.9434782608695653,12.0,6.0,-2.3,0.5,-0.8869565217391304,49.0,37.0,-2.8,0.1,-1.5565217391304347,6.0,-1.0,0.0,3.1,1.9608695652173913,12.0,9.0,-0.7,0.5,0.08695652173913045,2
125.0,11.0,-7.2,3.7,-0.2043478260869565,143.0,-14.0,0.2,3.7,1.7521739130434784,114.0,1.0,-11.4,-3.2,-8.639130434782608,157.0,10.0,-0.7,1.8,0.16086956521739132,113.0,1.0,-13.6,-4.7,-10.891304347826088,147.0,6.0,-3.5,6.3,-0.6173913043478261,2
167.0,-2.0,-2.1,0.7,-0.9869565217391304,233.0,8.0,-1.8,-0.5,-1.2695652173913043,169.0,0.0,-4.2,0.7,-1.9304347826086956,225.0,2.0,-2.9,-0.6,-1.9130434782608696,169.0,8.0,-12.4,-4.6,-10.069565217391304,223.0,-1.0,-7.4,0.8,-4.839130434782609,2
193.0,-1.0,-2.7,0.0,-1.7739130434782608,363.0,10.0,-5.4,-0.6,-2.608695652173913,194.0,5.0,-1.2,0.5,-0.34782608695652173,353.0,45.0,-2.0,-0.2,-0.9304347826086957,189.0,10.0,-1.7,0.1,-0.9043478260869565,308.0,34.0,-2.4,-1.5,-2.0304347826086957,3
263.0,-5.0,-4.0,1.9,0.3695652173913043,579.0,4.0,-1.8,2.5,-0.782608695652174,268.0,3.0,-1.5,0.9,-0.23043478260869565,575.0,7.0,-2.2,0.3,-1.5217391304347827,265.0,12.0,-3.0,1.9,-0.5739130434782609,568.0,13.0,-1.7,1.4,-0.8130434782608695,2
284.0,-3.0,-6.7,3.1,-2.465217391304348,705.0,-9.0,-5.6,2.7,-1.9956521739130435,287.0,-5.0,-4.1,5.0,-1.0826086956521739,714.0,-5.0,-4.1,5.7,-0.8260869565217391,292.0,4.0,-1.5,4.9,0.8347826086956522,719.0,0.0,-2.3,3.7,0.7130434782608696,3
