S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,S1_total_3,S1_delta_3,S1_min_3,S1_max_3,S1_mean_3,S2_total_3,S2_delta_3,S2_min_3,S2_max_3,S2_mean_3,Danger Rating
165.0,0.0,2.2,3.9,2.9347826086956523,514.0,1.0,-1.0,0.4,-0.408695652173913,165.0,1.0,1.8,3.7,2.6826086956521737,513.0,4.0,0.1,1.0,0.5608695652173913,164.0,8.0,0.1,3.7,1.4608695652173913,509.0,16.0,-3.3,2.0,-0.24782608695652172,156.0,3.0,-5.9,-0.3,-3.4391304347826086,493.0,23.0,-5.6,-2.8,-4.4,3
166.0,-3.0,-2.7,3.2,0.5304347826086957,510.0,-1.0,-1.8,7.1,0.6391304347826087,169.0,3.0,-3.1,7.4,2.4043478260869566,511.0,-1.0,1.5,7.7,3.3086956521739133,166.0,2.0,-0.2,7.4,3.2869565217391306,512.0,-1.0,-0.4,11.4,3.1608695652173915,164.0,-1.0,-1.1,8.6,2.630434782608696,513.0,-1.0,-1.7,8.1,0.6782608695652174,2
167.0,5.0,-6.2,3.6,0.7,508.0,1.0,-1.0,2.2,0.6086956521739131,162.0,-1.0,-6.6,4.0,-3.7130434782608694,507.0,-1.0,0.2,9.8,3.3130434782608695,163.0,0.0,-3.5,7.3,0.09999999999999996,508.0,-1.0,0.9,14.8,4.752173913043478,163.0,2.0,-1.6,12.2,1.443478260869565,509.0,0.0,3.9,16.5,7.030434782608696,1
286.0,6.0,-13.2,-2.5,-10.447826086956521,866.0,26.0,-1.7,1.1,-0.15217391304347827,280.0,4.0,-13.0,-3.9,-8.039130434782608,840.0,7.0,-3.9,3.4,-1.9782608695652173,276.0,1.0,-9.8,0.2,-5.291304347826087,833.0,11.0,-8.2,1.0,-4.060869565217391,275.0,5.0,-18.0,-2.1,-14.843478260869565,822.0,34.0,-4.2,0.2,-2.791304347826087,4
319.0,11.0,-2.7,3.4,0.6173913043478261,943.0,-2.0,-5.0,7.7,-0.5782608695652174,308.0,-4.0,-8.2,5.2,-2.6913043478260867,945.0,-2.0,-6.1,4.1,-1.7652173913043478,312.0,-1.0,-8.8,5.1,-2.026086956521739,947.0,0.0,-3.4,5.5,-0.19565217391304346,313.0,13.0,-1.4,1.0,0.14782608695652175,947.0,58.0,-2.7,3.1,-0.2956521739130435,3
374.0,3.0,-3.5,2.0,-1.4086956521739131,1229.0,-12.0,0.1,7.1,1.9478260869565216,371.0,-11.0,-2.9,9.9,0.5956521739130435,1241.0,-15.0,0.6,8.1,3.8130434782608695,382.0,-17.0,2.0,16.5,8.508695652173913,1256.0,-26.0,5.5,15.8,10.456521739130435,399.0,-14.0,1.7,20.3,9.395652173913044,1282.0,-16.0,6.6,22.5,12.917391304347825,-1
1.0,-2.0,2.7,9.9,5.291304347826087,805.0,-5.0,1.7,7.2,3.534782608695652,3.0,-2.0,2.9,9.3,5.665217391304348,810.0,-8.0,3.0,6.3,4.434782608695652,5.0,-5.0,2.6,11.4,5.869565217391305,818.0,-32.0,3.1,8.6,5.3,10.0,-18.0,4.1,9.0,6.817391304347826,850.0,-11.0,6.0,12.6,7.7,-1
0.0,0.0,7.2,15.2,9.57391304347826,0,0,4.5,13.1,7.234782608695652,0.0,0.0,3.8,18.5,10.052173913043479,0,0,4.9,16.4,9.230434782608695,0,0,0.9,17.0,8.486956521739131,0,0,5.5,17.6,10.378260869565217,0,0,1.8,15.4,8.552173913043479,0,0,3.0,15.6,7.978260869565217,-1
2.0,2.0,8.0,15.3,10.930434782608696,0,0,6.8,14.9,9.330434782608696,0,0,3.8,17.8,10.23913043478261,0,0,6.8,17.4,11.986956521739131,0,0,3.4,16.1,8.895652173913044,0,0,4.8,17.0,10.008695652173913,0,0,2.0,11.6,6.082608695652174,0,0,0.8,14.3,6.217391304347826,-1
0,0,5.4,26.5,14.095652173913043,0,0,12.2,25.6,18.104347826086958,0,0,3.4,23.5,12.517391304347827,0,0,9.0,21.7,15.204347826086957,0,0,5.2,21.5,13.58695652173913,0,0,10.8,22.1,16.22608695652174,0,0,5.7,23.3,14.008695652173913,0,0,10.2,22.4,16.17391304347826,-1
0,0,7.6,15.0,10.71304347826087,0,0,7.5,14.2,10.134782608695652,0,0,7.1,15.0,10.256521739130434,0,0,7.0,10.5,7.913043478260869,0,0,5.2,15.3,9.369565217391305,0,0,7.4,10.8,8.656521739130435,0,0,10.6,15.4,12.495652173913044,0,0,9.6,11.8,10.38695652173913,-1
0,0,5.5,16.4,10.082608695652175,0,0,8.8,13.7,10.865217391304348,0,0,7.6,15.0,10.71304347826087,0,0,7.5,14.2,10.134782608695652,0,0,7.1,15.0,10.256521739130434,0,0,7.0,10.5,7.913043478260869,0,0,5.2,15.3,9.369565217391305,0,0,7.4,10.8,8.656521739130435,-1
0,0,7.5,26.7,15.982608695652173,0,0,12.8,24.7,18.62608695652174,0,0,8.5,25.5,16.495652173913044,0,0,15.3,24.7,19.38695652173913,0,0,6.1,26.7,14.330434782608695,0,0,13.3,25.5,18.669565217391305,0,0,5.7,23.3,13.569565217391304,0,0,11.4,23.1,16.956521739130434,-1
0,0,7.3,24.3,14.57391304347826,0,0,10.1,20.8,14.165217391304347,0,0,12.1,21.7,15.660869565217391,0,0.0,11.3,14.3,12.191304347826087,0,0,11.5,20.5,15.1,0.0,0.0,12.4,19.2,13.534782608695652,0,0,9.7,25.8,16.77391304347826,0.0,0.0,11.7,21.7,14.486956521739131,-1
0,0,8.6,22.1,14.734782608695653,0,0,11.5,21.4,15.939130434782609,0,0,7.3,24.3,14.57391304347826,0,0,10.1,20.8,14.165217391304347,0,0,12.1,21.7,15.660869565217391,0,0.0,11.3,14.3,12.191304347826087,0,0,11.5,20.5,15.1,0.0,0.0,12.4,19.2,13.534782608695652,-1
0,0,-2.0,10.2,4.708695652173913,0,0,3.3,12.4,8.282608695652174,0,0,1.0,13.3,5.8130434782608695,0,0,7.4,15.6,9.995652173913044,0,0,4.2,16.1,9.595652173913043,0,0,8.6,17.3,12.030434782608696,0,0,7.9,20.8,13.556521739130435,0,0,10.9,21.2,15.7,-1
0,-8.0,0.2,2.6,1.0521739130434782,0,0,0.0,3.6,0.7521739130434782,8.0,8.0,0.2,4.3,1.6565217391304348,0,0,3.2,4.6,3.7130434782608694,0,0,1.1,5.7,3.139130434782609,0,0,2.5,4.9,3.2304347826086954,0,0,2.2,5.2,4.3130434782608695,0,0,4.9,7.8,6.469565217391304,-1
243.0,17.0,-15.9,2.1,-7.452173913043478,459.0,60.0,-3.8,-0.1,-1.5260869565217392,226.0,9.0,-18.9,-1.4,-15.330434782608696,399.0,10.0,-6.5,-4.5,-5.930434782608695,217.0,-5.0,-14.6,-4.6,-9.365217391304348,389.0,-3.0,-9.8,-5.4,-7.4913043478260875,222.0,5.0,-2.9,5.4,1.8130434782608695,392.0,1.0,-5.3,-0.8,-3.4043478260869566,4
264.0,-14.0,3.2,7.4,5.552173913043478,589.0,-4.0,3.0,4.2,3.6695652173913045,278.0,-15.0,0.2,7.8,3.4,593.0,32.0,2.2,3.8,3.0739130434782607,293.0,-1.0,3.3,6.9,4.730434782608696,561.0,-2.0,-0.1,2.1,0.6782608695652174,294.0,5.0,0.5,5.0,2.9260869565217393,563.0,14.0,-2.3,1.0,-1.2608695652173914,3
295.0,30.0,-6.0,4.8,-0.7565217391304349,583.0,1.0,-1.3,3.6,0.26521739130434785,265.0,-16.0,1.3,4.5,3.0391304347826087,582.0,3.0,0.1,2.6,0.9304347826086957,281.0,-20.0,-2.6,8.1,1.3043478260869565,579.0,-2.0,1.3,9.4,3.6043478260869564,301.0,6.0,-5.8,13.0,-0.8434782608695651,581.0,-5.0,-1.4,15.4,3.7043478260869565,1
251.0,-17.0,-6.6,-0.1,-3.4217391304347826,554.0,-4.0,-5.2,4.0,-2.0739130434782607,268.0,14.0,-8.9,2.8,-3.5304347826086957,558.0,-2.0,-3.8,1.7,-1.5695652173913044,254.0,-4.0,-13.6,4.1,-7.21304347826087,560.0,-6.0,-6.6,8.5,-0.9217391304347826,258.0,-6.0,-7.0,0.3,-3.5347826086956524,566.0,-1.0,-3.0,5.0,0.10434782608695649,1
0,0,4.5,19.0,9.81304347826087,0,0,3.5,17.6,8.97391304347826,0,0,1.9,12.6,6.6521739130434785,0,0,4.1,8.0,6.182608695652174,0,0,3.1,10.9,6.291304347826087,0,0,4.2,8.2,6.326086956521739,0,0,5.4,13.6,8.695652173913043,0,0,6.5,13.7,9.582608695652175,-1
0,0,7.1,17.2,11.452173913043477,0,0,8.9,17.7,12.7,0,0,4.5,18.2,11.9,0,0,6.5,17.0,12.047826086956523,0,0,4.9,19.2,11.556521739130435,0,0,7.0,18.3,12.591304347826087,0,0,4.5,19.0,9.81304347826087,0,0,3.5,17.6,8.97391304347826,-1
0,0,3.7,7.0,5.434782608695652,0,0,4.6,8.1,5.826086956521739,0,0,5.2,10.5,6.739130434782608,0,0,4.9,8.1,6.343478260869565,0,0,2.9,7.6,5.143478260869565,0,0,4.3,7.1,5.608695652173913,0,0,5.9,11.4,7.869565217391305,0,0.0,7.3,9.5,8.065217391304348,-1
0,0,8.8,12.4,10.508695652173913,0,0,8.1,12.5,9.165217391304347,0,0,5.8,12.7,8.052173913043479,0,0,5.8,8.9,6.743478260869566,0,0,4.6,13.0,7.256521739130434,0,0,4.3,8.7,5.930434782608695,0,0,0.8,13.2,5.743478260869566,0,0,3.3,9.5,5.608695652173913,-1
0,0,2.4,22.1,9.382608695652173,0,0,6.9,19.9,11.243478260869566,0,0,8.8,12.4,10.508695652173913,0,0,8.1,12.5,9.165217391304347,0,0,5.8,12.7,8.052173913043479,0,0,5.8,8.9,6.743478260869566,0,0,4.6,13.0,7.256521739130434,0,0,4.3,8.7,5.930434782608695,-1
0,0,-1.7,9.7,3.3260869565217392,0,0,2.9,13.7,7.026086956521739,0,0,5.6,14.6,9.017391304347827,0,0,6.6,12.8,9.1,0,0,2.1,20.2,9.147826086956522,0,0,7.3,20.2,11.63913043478261,0,0,4.9,19.0,9.921739130434782,0,0,6.4,16.5,10.726086956521739,2
0,0,0.0,10.6,8.321739130434782,0,0,5.8,9.8,6.826086956521739,0,0,5.1,15.2,8.991304347826087,0,0,8.1,13.6,10.504347826086956,0,0,0.6,16.2,5.482608695652174,0,0,6.5,18.1,10.678260869565218,0,0,-2.2,16.6,3.482608695652174,0,0,4.7,16.8,9.152173913043478,2
0,0,-0.5,8.8,2.3434782608695652,0,0,1.5,8.1,3.982608695652174,0,0,1.1,9.7,3.365217391304348,0,0,1.3,4.9,2.5565217391304347,0,0,2.5,7.1,4.278260869565218,0,0,1.1,5.6,3.360869565217391,0,0.0,3.4,10.2,7.339130434782609,0,0,7.0,9.0,8.18695652173913,2
0.0,0.0,7.8,10.6,9.378260869565217,0,0,9.4,13.3,11.395652173913044,0,0,1.4,18.8,6.782608695652174,0,0,8.1,20.5,12.017391304347825,0,0,-2.0,12.0,2.0782608695652174,0,0,4.5,16.5,8.439130434782609,0,0,-3.1,10.8,1.791304347826087,0,0,-0.5,11.1,4.217391304347826,2
