S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,Danger Rating
109.0,1.0,-3.8,0.3,-2.0739130434782607,368.0,16.0,-4.7,-1.7,-3.273913043478261,3
257.0,7.0,-15.1,-5.2,-10.595652173913043,771.0,0.0,-12.5,-5.0,-8.695652173913043,4
211.0,-20.0,3.0,17.4,9.734782608695651,965.0,-21.0,6.8,17.1,10.678260869565218,-1
129.0,-28.0,2.7,11.7,6.1,909.0,-13.0,2.7,8.2,5.034782608695652,-1
0,0,-0.2,14.0,6.717391304347826,0,0,3.1,15.1,9.308695652173913,-1
1.0,0.0,7.4,15.6,11.182608695652174,0,0,5.9,15.6,8.843478260869565,-1
0,0,5.2,21.5,13.58695652173913,0,0,10.8,22.1,16.22608695652174,-1
0,0,6.6,16.1,9.956521739130435,0,0,6.9,11.3,8.021739130434783,-1
0,0,5.0,15.8,10.378260869565217,0,0,6.4,15.6,10.226086956521739,-1
0,0,3.5,19.0,9.578260869565218,0,0,9.1,19.2,14.02608695652174,-1
0,0,5.8,7.8,6.78695652173913,0,0,5.7,9.1,7.27391304347826,-1
0,-8.0,0.2,2.6,1.0521739130434782,0,0,0.0,3.6,0.7521739130434782,-1
113.0,1.0,-13.6,-4.7,-10.891304347826088,147.0,6.0,-3.5,6.3,-0.6173913043478261,2
203.0,-7.0,-19.3,-10.0,-15.4,391.0,-2.0,-11.5,-4.9,-8.869565217391305,2
289.0,8.0,-2.9,4.7,0.3217391304347826,549.0,-1.0,-6.1,2.7,-3.2,2
292.0,4.0,-7.1,9.9,-2.3347826086956522,592.0,-9.0,-3.4,9.4,0.9695652173913043,2
263.0,-3.0,-7.3,8.4,-1.0434782608695652,697.0,-1.0,-2.9,12.2,3.091304347826087,2
269.0,7.0,-0.1,3.9,1.9826086956521738,689.0,-2.0,-0.5,6.6,1.6217391304347826,2
274.0,-1.0,2.7,9.3,5.621739130434783,702.0,-4.0,-0.3,5.5,1.7913043478260868,-1
0,0,3.1,14.0,8.278260869565218,209.0,-26.0,6.4,15.5,9.634782608695652,-1
0,0,7.1,17.2,11.452173913043477,0,0,8.9,17.7,12.7,-1
0,0,2.7,17.4,9.482608695652173,0,0.0,7.8,17.5,12.860869565217392,-1
0,0,9.1,15.6,12.07391304347826,0,0,7.5,16.0,11.02608695652174,-1
0,0,4.7,19.1,12.334782608695653,0,0,9.7,19.4,13.478260869565217,-1
83.0,1.0,-11.2,-4.1,-9.195652173913043,204.0,1.0,-2.9,10.2,0.6260869565217391,2
265.0,2.0,-11.4,-6.6,-8.965217391304348,698.0,2.0,-7.7,-3.8,-6.552173913043478,2
269.0,0.0,-15.5,-10.4,-13.17391304347826,724.0,-1.0,-6.3,2.3,-3.7391304347826084,1
274.0,6.0,-7.3,1.2,-3.082608695652174,719.0,-3.0,-5.4,-0.7,-3.856521739130435,1
312.0,14.0,-2.3,1.4,-0.41304347826086957,873.0,29.0,-2.6,0.0,-1.5434782608695652,5
455.0,-8.0,-1.7,3.1,0.06086956521739132,1265.0,23.0,-2.2,-0.1,-1.4217391304347826,4
