S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,Danger Rating
164.0,-1.0,-1.1,8.6,2.630434782608696,513.0,-1.0,-1.7,8.1,0.6782608695652174,165.0,0.0,2.2,3.9,2.9347826086956523,514.0,1.0,-1.0,0.4,-0.408695652173913,3
300.0,15.0,-0.5,1.4,0.45217391304347826,889.0,12.0,-1.6,-0.1,-0.808695652173913,285.0,-1.0,-1.6,4.7,2.247826086956522,877.0,11.0,-0.4,0.3,-0.1391304347826087,4
390.0,-2.0,-8.3,2.8,-4.7956521739130435,1100.0,1.0,-5.9,4.9,-1.365217391304348,392.0,2.0,-7.1,0.6,-3.9043478260869566,1099.0,31.0,-2.8,7.1,-0.3826086956521739,3
409.0,3.0,1.4,6.9,3.365217391304348,1209.0,1.0,-1.1,6.2,1.0782608695652174,406.0,5.0,-1.3,5.3,1.1695652173913043,1208.0,-3.0,-3.0,5.4,0.039130434782608726,2
0,0.0,1.8,16.7,8.895652173913044,0,0,4.5,20.1,11.747826086956522,0.0,0.0,1.1,16.3,8.839130434782609,0,0,3.8,17.6,10.443478260869565,-1
1.0,-1.0,4.5,17.5,9.282608695652174,0,0,4.2,17.2,8.904347826086957,2.0,2.0,0.3,8.9,3.365217391304348,0,0,1.6,10.1,4.591304347826087,-1
0,0,5.2,23.9,13.317391304347826,0,0,9.5,24.6,15.517391304347827,0,0,1.9,18.3,9.308695652173913,0,0,4.4,17.9,9.656521739130435,-1
4.0,4.0,10.9,21.4,16.98695652173913,0,0,15.1,23.8,18.286956521739132,0,0,5.2,23.9,13.317391304347826,0,0,9.5,24.6,15.517391304347827,-1
0,-1.0,5.1,21.1,12.26086956521739,0,0,8.4,20.2,13.195652173913043,1.0,1.0,8.7,17.8,10.852173913043478,0,0,7.6,12.5,8.704347826086956,-1
0,0,-3.2,17.1,3.382608695652174,0,0,2.7,15.3,7.791304347826087,0,0,-2.0,10.2,4.708695652173913,0,0,3.3,12.4,8.282608695652174,-1
0,0,7.6,12.9,10.269565217391305,0,0,6.5,15.8,9.482608695652173,0,0,5.2,15.9,9.169565217391305,0,0,6.7,14.6,9.878260869565217,-1
0,0,5.8,7.8,6.78695652173913,0,0,5.7,9.1,7.27391304347826,0,0,4.5,8.8,6.456521739130435,0,0,4.8,6.5,5.926086956521739,-1
113.0,1.0,-13.6,-4.7,-10.891304347826088,147.0,6.0,-3.5,6.3,-0.6173913043478261,112.0,2.0,-14.4,-6.8,-11.452173913043477,141.0,8.0,-5.6,7.2,-1.9521739130434783,2
222.0,5.0,-2.9,5.4,1.8130434782608695,392.0,1.0,-5.3,-0.8,-3.4043478260869566,217.0,3.0,-4.9,3.5,-2.3347826086956522,391.0,2.0,-2.0,9.4,0.4956521739130435,2
278.0,-15.0,0.2,7.8,3.4,593.0,32.0,2.2,3.8,3.0739130434782607,293.0,-1.0,3.3,6.9,4.730434782608696,561.0,-2.0,-0.1,2.1,0.6782608695652174,4
251.0,5.0,0.7,5.3,3.0304347826086957,559.0,-2.0,-1.5,4.6,0.7130434782608696,246.0,11.0,-5.3,4.5,-0.9695652173913043,561.0,-5.0,-3.8,8.2,0.3695652173913043,1
275.0,-3.0,-2.7,4.5,-0.5304347826086957,747.0,1.0,-4.5,4.4,-1.5869565217391304,278.0,-15.0,-6.4,2.9,-2.230434782608696,746.0,14.0,-6.8,5.1,-1.8130434782608695,3
289.0,8.0,-2.3,15.1,3.982608695652174,722.0,-1.0,1.6,16.8,7.621739130434783,281.0,-1.0,-4.9,11.8,1.1260869565217393,723.0,-19.0,-1.5,14.6,5.086956521739131,3
0,0,1.0,15.6,7.165217391304347,412.0,-22.0,5.9,16.3,9.960869565217392,0,0,3.5,14.3,6.239130434782608,434.0,-22.0,3.7,15.6,7.465217391304348,-1
0,0,2.1,20.0,9.695652173913043,310.0,-33.0,7.9,23.2,14.273913043478261,0,0,1.6,18.7,8.943478260869565,343.0,-35.0,6.3,22.5,12.908695652173913,-1
0,0,2.8,19.0,9.28695652173913,158.0,-20.0,6.0,20.2,9.452173913043477,0,0,5.3,14.2,8.117391304347827,178.0,-31.0,6.0,11.7,7.621739130434783,-1
0,0,5.4,13.6,8.695652173913043,0,0,6.5,13.7,9.582608695652175,0,0,6.3,15.4,10.61304347826087,0,0,6.7,16.6,11.486956521739131,-1
0,0,3.6,22.5,12.378260869565217,0,0,9.2,22.7,14.991304347826087,0,0,10.8,14.5,12.356521739130434,0,0,9.5,15.2,12.043478260869565,-1
0,0,8.2,28.2,16.917391304347827,0.0,0.0,12.7,26.0,18.12608695652174,0,0,6.7,24.7,15.07391304347826,0.0,-2.0,13.8,21.1,17.234782608695653,-1
0,0,1.0,17.4,7.8304347826086955,0,0,6.3,17.6,11.008695652173913,0,0,9.8,14.6,11.68695652173913,0,0,8.3,18.0,11.295652173913044,-1
0,0,8.0,15.4,11.465217391304348,0,0,6.7,19.2,11.443478260869565,0,0,2.2,17.0,7.960869565217391,0,0,4.4,12.5,7.378260869565217,-1
